@Username,Tweet,Lokasi
Hmiraa5,"“Kalaupun Cak Imin menolaknya (Prabowo-Puan), tetap saja koalisi PDIP-Gerindra lebih dari cukup untuk mengusung capres-cawapres,” kata Jamiluddin.

capres2024

pemilu2024

dekade08

terusmajubersamaprabowo

mendingprabowo

Lebih Baik Prabowo",
WildanIlmi1,"“Kalaupun Cak Imin menolaknya (Prabowo-Puan), tetap saja koalisi PDIP-Gerindra lebih dari cukup untuk mengusung capres-cawapres,” ucap Jamiluddin.

capres2024

pemilu2024

dekade08

terusmajubersamaprabowo

mendingprabowo

Prabowo Aja",
desy_ari4,"“Kalaupun Cak Imin menolaknya (Prabowo-Puan), tetap saja koalisi PDIP-Gerindra lebih dari cukup untuk mengusung capres-cawapres,” kata Jamiluddin.

capres2024

pemilu2024

dekade08

terusmajubersamaprabowo

mendingprabowo

Lebih Baik Prabowo",
SReiki2,"“Kalaupun Cak Imin menolaknya (Prabowo-Puan), tetap saja koalisi PDIP-Gerindra lebih dari cukup untuk mengusung capres-cawapres,” ucap Jamiluddin.

capres2024

pemilu2024

dekade08

terusmajubersamaprabowo

mendingprabowo

Prabowo Aja",
AndreSyahrul5,"“Kalaupun Cak Imin menolaknya (Prabowo-Puan), tetap saja koalisi PDIP-Gerindra lebih dari cukup untuk mengusung capres-cawapres,” kata Jamiluddin.

capres2024

pemilu2024

dekade08

terusmajubersamaprabowo

mendingprabowo

Lebih Baik Prabowo",Bandung
ArkanAmar1,"“Kalaupun Cak Imin menolaknya (Prabowo-Puan), tetap saja koalisi PDIP-Gerindra lebih dari cukup untuk mengusung capres-cawapres,” ucap Jamiluddin.

capres2024

pemilu2024

dekade08

terusmajubersamaprabowo

mendingprabowo

Prabowo Aja",Bogor
AdhieFebriansy1,"“Kalaupun Cak Imin menolaknya (Prabowo-Puan), tetap saja koalisi PDIP-Gerindra lebih dari cukup untuk mengusung capres-cawapres,” kata Jamiluddin.

capres2024

pemilu2024

dekade08

terusmajubersamaprabowo

mendingprabowo

Lebih Baik Prabowo",Lembang
tolakbigotnkri,"@finallyvalen Maaf, min siapa? Cak Imin? Hih!",
MilkaFiona,@detikcom Kalo menurut saya cak imin cawapres aja la... Gk usah terlalu maksa harus capres...,
Taqimhmd,@matrokemat Manteb iku sisan rasan² cak imin for presiden 2024,
im85046168,@DaltonSembiring @Dennysiregar7 Anies nya satu lawannya sekolam  penuh( Jokowi Ganjar Prabowo puan cak Imin Hartato Erik). Lawan terus pak selamatkan RI dan demokrasi.,
liputan6dotcom,"PKB Peringkat 6 Versi Litbang Kompas, Cak Imin: Memotivasi Supaya Lebih Kerja Lagi https://t.co/wRHyTd0Pnj",INDONESIA
sdytea,@geloraco Cak imin kaya mobil esemka. Selalu muncul menjelang pilpres...,
keuangannews_id,"Peluang Partai Gerindra Koalisi dengan PDIP Kuat, Ini Langkah Cak Imin https://t.co/mHzz2mLJEf",
cat_men01,@JamesSmithUK @gaspoll2024 Nu merupakan organisasi. Simpatisan nahdliyin apakah yakin mendukung cak imin? Simpatisan ini berada diluar anggota NU.,
cat_men01,@gaspoll2024 Apakah yakin nahdliyin milih ke cak imin?,
KopiUlubelu,@Jirolup4t @gaspoll2024 🤝🤝🤝🤝🤝saya kader NU tapi Ndak bakal ndujung cak imin,
rkisnadi,@geloraco Cak Imin kon ndhagel ae Om....terus dan terus adol dhagelan,
Andesit14,@gaspoll2024 Gus Umar kelemahan cak imin itu harus nya bisa di hilangkan asal terlihat bisa merakyat .lihat akun ganjar bahkan nafa urbach ditiktok dia merakyat akunya rame .,
eradotid,"""Sebab kalau kartu yang keluar beda, kita keluarin kartu beda. Jadi hari ini semua stuck menunggu kartu lawan,"" kata Cak Imin https://t.co/mNb0p4JgmK",Jakarta Capital Region
gea_asa,@geloraco Cak Imin tidak baik untuk negeri ini. Masa jabatan kades 9 tahun saja didukung itu merupakan keracunan kekuasaan yang menjajah demokrasi dan generalisasi pemimpin desa,Indonesia
CNNIDdaily,Ketua Umum PKB Muhaimin Iskandar atau Cak Imin akan memutuskan siapa koalisinya untuk maju Pilpres 2024 sebulan ke depan. Cak Imin menegaskan kadernya siap. https://t.co/ns6OyEQkD6 https://t.co/wNgkIOkayv,Indonesia
Disuruh_Iben,"Elektabilitas PKB Anjlok, Cak Imin: Jadi Pecut Kejar Berbagai Kekurangan - https://t.co/v8eGYL9JfV https://t.co/bbsNz6zI6f #IndonesiaKuat #BangkitBersama",Pulau Impian
Disuruh_Iben,"Soal Capres dan Cawapres, Cak Imin: Saling Mengintai, Semua Tidak Mau Buka Kartu - https://t.co/v8eGYL9JfV https://t.co/Q2lhNGMrLm #IndonesiaKuat #BangkitBersama",Pulau Impian
BudiSatriyono1,"@OposisiCerdas Pilih capres yg punya prestasi, klo cak imin...",
ichsanarif1,"@OposisiCerdas Kartu mati ?
di gandeng sama siapa saja cak Imin itu pasti mati (kalah) makanya mikir"" mencalonkan dia

Sesepuh PKB Gus Dur di gusur , apa lagi coma org biasa","surabaya, lahir dibanjarmasin"
cemplok2020,"@kochengfs Nama : Paimin /cak imin
Jenis kelamin : cowok
Benda favorite: kresek,  sapu
Hobi : rebahan didepan tipi https://t.co/aVVwYVZlTx","Tangerang, Banten"
CakiminB,"#BacalegPKB 
#GusMuhaimiIskandar https://t.co/0pkal0h6O4",
CakImin_Bulian,"#BacalegPKB 
@cakimiNOW https://t.co/0dXqALmHqm",
BolangL08820701,Cak imin katanya mau nyalon jadi kepala desa saja. Kalau dana desa 5 milyar🤣🤣🤣🤣🤣🤣🤣🤣🤣 https://t.co/lAthPFIY7j,
OposisiCerdas,"Berharap Cak Imin Maju Capres 2024, PKB: Wakilnya Pak Prabowo Boleh, Pak Anies Juga Boleh
https://t.co/CdpbFDX8Me",
ricardyoyok1,good cak imin #gusmuhaimin #pkb https://t.co/SDgOJH9AIx,"Kebumen, Indonesia"
Ekocahyoris,"Pesta Demokrasi Harapan Bangsa
#cakimin 
#KemendesPDTT https://t.co/ApJqjE8xtA",
tama_hype,"@geloraco Colek @PDemokrat 
Tuh pasangin sama AHY 
Sama2 ngebet jadi CAPRES dan WAPRES...
CAK IMIN feat AHY ....🤣🤣🤣",BOEKITTINGGI
hidayatj84,@billy4riez Insya Allah cak Imin wapres RI https://t.co/bMHO4rufx9,Indonesia
SonnyJulianto1,@Asrul_amr Ado minat nampaknyo caleg PKB.....Cak Imin..,
VIVAcoid,"Cak Imin Soroti Wacana Pemilu Tertutup: Tidak Logis, Negeri Ini Sedang Dangerous https://t.co/gn65gMLHh7",
Bilfishclub66g2,"@geloraco mimpi cak  Imin setinggi  monas , kalau tertiup angin pasti jatuh 😆😆😆😆😆jejak digitalnya tetap ada nanti ya cak.... 😄😄😄",Pulau 1000
Disuruh_Iben,Prabowo Subianto:  Cak Imin Diprediksi Legowo Jika Prabowo Subianto-Puan Berpasangan - RMOL https://t.co/pzK5bBL3wF #IndonesiaKuat #BangkitBersama,Pulau Impian
ahmadhellishfau,#JokowiCakImin #JoinKepri2019 #NasionalisReligius FOLLOW | RETWEET | LIKE | KOMEN Jokowi-CakImin https://t.co/Tc1vmu15J1,
ahmadhellishfau,#JokowiCakImin #JoinKepri2019 #NasionalisReligius FOLLOW | RETWEET | LIKE | KOMEN Jokowi-CakImin https://t.co/iyCGJ35FT9,
ahmadhellishfau,#JokowiCakImin #JoinKepri2019 #NasionalisReligius FOLLOW | RETWEET | LIKE | KOMEN Jokowi-CakImin https://t.co/JFAHHrz8XR,
rmp_officials,"Selamat Hari Peduli Sampah 2023

#CakImin #GusMuhaimin #Muhaimin #MuhaiminIskandar #GusMuhaiminIskandar #Capres2024 #Pilpres2024 https://t.co/HyDSsBPUTy",
yasrirahun86,"Uji Kepatutan
PKB untuk Cak Imin💚💚 https://t.co/q1q8nq2Vog",
theminddeep,"@geloraco Prestasi Cak Imin apaan? Sorry nih ya, saya hanya ngeliat ambisinya aja ketimbang prestasi.",
Tjel0up,"IKN bnyk yg kritik bahwa ibukota baru belum dibutuhkan. 

Menurutmu siapa tokoh yg digadang2 maju sebagai capres 2024 yg berani menghentikan kebijakan ini...?

Anies,Prabowo,Puan,Ganjar,Cak Imin atau dll....?",
BapaEnte,"@geloraco Mening deklarasi aja cak Imin dng siapa gitu, kyk gelora brani deklarasi kan Anis dan fh.
Biar tokoh bangsa bermunculan",
Cak_Didi,"Ketua Umum PKB ⁦@cakimiNOW⁩ bicara soal perkembangan capres-cawapres 2024. Cak Imin mengatakan semua parpol saat ini saling mengintai.

 https://t.co/J3EjIbIy9m","DKI Jakarta, Indonesia"
indopod_xyz,Cak Imin soal Capres-cawapres 2024: Semua Stuck Nunggu Kartu Lawan https://t.co/0nhCrOS7Rr,Jawa barat
LTriwinarti,@DPP_PKB @cakimiNOW Yess. Cak Imin Sat Set,
WartaEkonomi,"Gerindra-PKB Rayu Partai Lain Gabung Koalisi, Cak Imin: Akan Ada Kristalisasi https://t.co/iYSKGYBokl","Jakarta, Indonesia"
KATADATAcoid,Cak Imin Ramal Gugatan Sistem Pemilu Proporsional Bakal Kandas di MK https://t.co/tiFJIG3fJN,Jakarta
Riau24Com,Cak Imin Yakin Indonesia dalam Bahaya Jika MK Putuskan Pemilu Tertutup https://t.co/Az6FJootVT,Pekanbaru
Harian_Jogja,Cak Imin soal Capres-Cawapres: Semua Masih Menunggu Kartu Lawan https://t.co/iryYTettp7 #beritajogja #jogja #jogjaistimewa https://t.co/v9EmxbnpA5,"Yogyakarta, Indonesia"
Disuruh_Iben,Cak Imin Yakin Indonesia dalam Bahaya Jika MK Putuskan Pemilu Tertutup | https://t.co/8NMCTxjDiN - https://t.co/qMKwSiac2X https://t.co/jFR70m9PO5 #IndonesiaKuat #BangkitBersama,Pulau Impian
Disuruh_Iben,"PKB Ingin Cak Imin Jadi Capres 2024: Wakilnya Mau Prabowo Atau Anies Juga Boleh, Terserah - MSN https://t.co/SLlwEVByuh #IndonesiaKuat #BangkitBersama",Pulau Impian
Disuruh_Iben,"Cak Imin: Kalau Putusan MK Pemilu Tertutup, Negeri Ini Sedang Dangerous - detikNews https://t.co/2F1lMzIFMG #IndonesiaKuat #BangkitBersama",Pulau Impian
Disuruh_Iben,Ketum PBNU Sindir Cak Imin Rebut PKB dari Gusdur - MSN https://t.co/p45cA7WfQF #IndonesiaKuat #BangkitBersama,Pulau Impian
wahyutoto1,@geloraco Keknya kereen neh kalo cak imin jadi capres dan prabowo jadi cawapresnya.👍🇲🇨😁,
rahcmatdelima,"Tetap Menunggu pengumuman yang lain dulu

Cak Imin Belum Terpikir Sama Sekali Berpasangan dengan Anies di 2024 https://t.co/7RpZJcQCS6",
corongnusantara,"Anies Jadi Cawapres Di 2024, Cak Imin: Belum Terpikirkan Sama Sekali
https://t.co/7IVLhWKLcP
#AniesBaswedan #CakImin #MuhaiminIskandar #Pilpres2024 https://t.co/7j9eQe6raV",Indonesia
rmp_officials,"Intinya, sampah masih menjadi PR bangsa Indonesia, perlu ada perhatian khusus terhadap masalah ini

#CakImin #GusMuhaimin #Muhaimin #MuhaiminIskandar #Capres2024 #Pilpres2024 https://t.co/72Low1QBlC",
IdChannel9,"PKB minta Cak Imin jadi Wapres, siapapun yang jadi Prediden....
#pkb  #CakImin 
https://t.co/hzdkSjE15b",
Wanto50221626,@CNNIndonesia Aneh aneh wae gos imin iki iso opo sampean cak kok yo lucu tenan  marai kepingkel pingkel banser,
idtodayco,"Berharap Cak Imin Maju Capres 2024, PKB: Wakilnya Pak Prabowo Boleh, Pak Anies Juga Boleh  https://t.co/AdRqONYajg",Indonesia
VIVAcoid,"Cak Imin: Jika MK Kabulkan Gugatan Sistem Pemilu Tertutup, Politik dalam Keadaan Bahaya https://t.co/Q48hFXFbQB",
liputan6dotcom,"Cak Imin Ogah Buka Kartu Capres-Cawapres: Ibarat Kompetisi, Saling Mengintai https://t.co/Qv4RGQN3mO",INDONESIA
KedaiPenaCom,"Tepis Benny K Harman, Anak Buah Cak Imin Yakin Kabar Dana Besar Penundaan Pemilu 2024 Hanya Isu via @kedaipenacom https://t.co/lB5bY8mhex",Indonesia
detikcom,Ketua Umum PKB Cak Imin bicara soal perkembangan capres-cawapres 2024. Cak Imin mengatakan semua parpol saat ini sedang saling mengintai.  https://t.co/f0AyQIRa6q,"Jakarta, Indonesia"
harianpijar,"Pilpres 2024, Cak Imin Belum Terpikir Sama Sekali untuk Berpasangan dengan Anies..
https://t.co/LWfmpd1JH0",Indonesia
mitrapost_,"Cak Imin Sebut Sistem Coblos Partai Bahayakan Indonesia
https://t.co/Lkn5QnQ7sn",Pati 
muhamma39967166,"Uji Kepatutan dan Kelayakan Bakal Calon Legislatif
@cakimiNOW 
@cakimin 
@DPP_PKB 
@BagusMuhaiminS1 https://t.co/wYNgDU7FfJ",
